county,originState,inboundFromState,pctOfTotal
Gallatin,Colorado,1430,15.79
Gallatin,California,941,10.39
Gallatin,Nebraska,754,8.33
Gallatin,Minnesota,692,7.64
Gallatin,Florida,558,6.16
Missoula,Washington,754,11.69
Missoula,Idaho,733,11.36
Missoula,Oregon,561,8.7
Missoula,California,545,8.45
Missoula,Nevada,464,7.19
Yellowstone,Washington,754,11.76
Yellowstone,Colorado,692,10.79
Yellowstone,Wyoming,508,7.92
Yellowstone,Arizona,422,6.58
Yellowstone,Utah,421,6.56
Flathead,Washington,824,19.54
Flathead,California,536,12.71
Flathead,Texas,262,6.21
Flathead,Minnesota,220,5.22
Flathead,Wyoming,219,5.19
Cascade,North Dakota,455,11.42
Cascade,Texas,384,9.64
Cascade,Washington,306,7.68
Cascade,Florida,267,6.7
Cascade,California,261,6.55
