originState,inboundFromState,pctOfTotal
Washington,824,19.54
California,536,12.71
Texas,262,6.21
Minnesota,220,5.22
Wyoming,219,5.19
Oregon,217,5.14
Illinois,193,4.58
Florida,191,4.53
Alabama,161,3.82
Ohio,119,2.82
Nevada,106,2.51
Alaska,101,2.39
Arizona,99,2.35
Colorado,95,2.25
Idaho,90,2.13
New Jersey,86,2.04
Europe,84,1.99
Georgia,83,1.97
Wisconsin,78,1.85
Louisiana,68,1.61
Utah,60,1.42
Asia,50,1.19
Northern America,44,1.04
North Dakota,42,1.0
Virginia,39,0.92
Indiana,38,0.9
New York,34,0.81
Hawaii,18,0.43
South Dakota,13,0.31
Vermont,10,0.24
Pennsylvania,10,0.24
Africa,8,0.19
Tennessee,7,0.17
Michigan,7,0.17
Oceania and At Sea,6,0.14
