county,totalMigration,totalInternalMigration,totalExternalMigration,pctInternal,pctExternal
Gallatin,9054,8323,731,91.93,8.07
Missoula,6451,5799,652,89.89,10.11
Yellowstone,6413,6082,331,94.84,5.16
Flathead,4218,4026,192,95.45,4.55
Cascade,3983,3691,292,92.67,7.33
Lewis and Clark,2125,1987,138,93.51,6.49
Ravalli,1915,1839,76,96.03,3.97
Lake,1204,1190,14,98.84,1.16
Park,1095,1052,43,96.07,3.93
Silver Bow,958,840,118,87.68,12.32
Beaverhead,708,606,102,85.59,14.41
Lincoln,669,669,0,100.0,0.0
Sanders,568,557,11,98.06,1.94
Madison,513,428,85,83.43,16.57
Custer,457,402,55,87.96,12.04
Fergus,414,409,5,98.79,1.21
Richland,410,330,80,80.49,19.51
Chouteau,396,334,62,84.34,15.66
Broadwater,367,352,15,95.91,4.09
Deer Lodge,342,318,24,92.98,7.02
Glacier,342,320,22,93.57,6.43
Jefferson,314,273,41,86.94,13.06
Powell,312,308,4,98.72,1.28
Mineral,292,286,6,97.95,2.05
Big Horn,285,250,35,87.72,12.28
Hill,273,242,31,88.64,11.36
Teton,244,234,10,95.9,4.1
Carbon,229,214,15,93.45,6.55
Pondera,212,193,19,91.04,8.96
Toole,210,200,10,95.24,4.76
Granite,194,194,0,100.0,0.0
Musselshell,183,183,0,100.0,0.0
Stillwater,178,178,0,100.0,0.0
Phillips,170,170,0,100.0,0.0
Dawson,164,152,12,92.68,7.32
Sweet Grass,147,147,0,100.0,0.0
Sheridan,132,112,20,84.85,15.15
Rosebud,122,122,0,100.0,0.0
Fallon,122,113,9,92.62,7.38
Liberty,107,107,0,100.0,0.0
Powder River,96,96,0,100.0,0.0
Valley,92,85,7,92.39,7.61
Roosevelt,85,83,2,97.65,2.35
Carter,56,56,0,100.0,0.0
Blaine,54,54,0,100.0,0.0
Wibaux,45,45,0,100.0,0.0
Judith Basin,43,41,2,95.35,4.65
Wheatland,43,42,1,97.67,2.33
Garfield,36,36,0,100.0,0.0
Treasure,27,27,0,100.0,0.0
Daniels,25,25,0,100.0,0.0
McCone,22,22,0,100.0,0.0
Petroleum,17,17,0,100.0,0.0
Golden Valley,17,17,0,100.0,0.0
Meagher,14,14,0,100.0,0.0
Prairie,1,1,0,100.0,0.0
